epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,46880,0.24584,0.7582,0.80755,0.99768,0.99901,0.995,0.99303,0.15998,0.47547,0.77775,2.99424e-05,2.99424e-05,2.99424e-05
40,48051,0.24106,0.75269,0.80658,0.997,0.99958,0.995,0.99275,0.14875,0.4649,0.77738,2.94672e-05,2.94672e-05,2.94672e-05
41,49223.3,0.24213,0.74278,0.80762,0.99728,0.99899,0.99492,0.99344,0.14999,0.46409,0.7766,2.8992e-05,2.8992e-05,2.8992e-05
42,50390.7,0.23873,0.72804,0.805,0.99761,0.99933,0.99491,0.99273,0.15487,0.45866,0.7769,2.85168e-05,2.85168e-05,2.85168e-05
43,51568.6,0.23377,0.72135,0.80488,0.99715,0.99927,0.995,0.99254,0.16511,0.46383,0.7785,2.80416e-05,2.80416e-05,2.80416e-05
44,52747,0.232,0.706,0.8052,0.99734,0.99953,0.995,0.99292,0.1557,0.45095,0.77612,2.75664e-05,2.75664e-05,2.75664e-05
45,54431.4,0.23527,0.71673,0.80399,0.99693,0.99913,0.995,0.99341,0.14083,0.44161,0.77415,2.70912e-05,2.70912e-05,2.70912e-05
46,56115.5,0.22972,0.68766,0.8004,0.99658,0.9992,0.995,0.99348,0.14929,0.44222,0.77533,2.6616e-05,2.6616e-05,2.6616e-05
47,57343.4,0.22825,0.68799,0.80412,0.9968,0.99936,0.995,0.99356,0.14748,0.43931,0.77513,2.61408e-05,2.61408e-05,2.61408e-05
48,58572.7,0.22995,0.69075,0.80605,0.99787,0.99955,0.995,0.99327,0.15511,0.43916,0.77555,2.56656e-05,2.56656e-05,2.56656e-05
49,59800.8,0.2264,0.67766,0.80295,0.99768,0.99978,0.995,0.99383,0.14539,0.4301,0.7744,2.51904e-05,2.51904e-05,2.51904e-05
50,61025.7,0.22397,0.67003,0.80188,0.99752,0.99935,0.995,0.99396,0.14464,0.43082,0.77412,2.47152e-05,2.47152e-05,2.47152e-05
51,62258,0.22178,0.65303,0.80316,0.99758,0.99988,0.995,0.99387,0.13641,0.42331,0.77306,2.424e-05,2.424e-05,2.424e-05
52,63479.6,0.22277,0.65171,0.80201,0.99686,0.9994,0.995,0.9939,0.13863,0.4174,0.77298,2.37648e-05,2.37648e-05,2.37648e-05
53,64701.1,0.2201,0.64652,0.80186,0.99761,0.99954,0.995,0.99356,0.15216,0.42348,0.77497,2.32896e-05,2.32896e-05,2.32896e-05
54,65935.5,0.22008,0.64359,0.80071,0.99745,0.99953,0.995,0.99363,0.15316,0.42248,0.77432,2.28144e-05,2.28144e-05,2.28144e-05
55,67166.7,0.21709,0.64638,0.80147,0.99786,0.99958,0.995,0.99362,0.13659,0.41615,0.7734,2.23392e-05,2.23392e-05,2.23392e-05
56,68395.5,0.2134,0.62568,0.79928,0.99677,0.99954,0.995,0.99362,0.14146,0.40987,0.7735,2.1864e-05,2.1864e-05,2.1864e-05
57,69679.1,0.21163,0.61976,0.80082,0.99717,0.99955,0.995,0.99359,0.15332,0.41014,0.77446,2.13888e-05,2.13888e-05,2.13888e-05
58,70914.1,0.21015,0.6209,0.79931,0.99756,0.99941,0.995,0.99375,0.1396,0.40795,0.77292,2.09136e-05,2.09136e-05,2.09136e-05
59,72137.4,0.21164,0.61147,0.80078,0.99766,0.99933,0.995,0.9938,0.1388,0.40107,0.7727,2.04384e-05,2.04384e-05,2.04384e-05
60,73378.1,0.21024,0.60963,0.79876,0.99639,0.99938,0.995,0.99393,0.13321,0.39693,0.77193,1.99632e-05,1.99632e-05,1.99632e-05
61,75165.4,0.20899,0.60391,0.80045,0.9977,0.99947,0.995,0.99362,0.14299,0.39488,0.77238,1.9488e-05,1.9488e-05,1.9488e-05
62,77067.9,0.20455,0.59198,0.79861,0.99777,0.99962,0.995,0.9937,0.13621,0.39447,0.77187,1.90128e-05,1.90128e-05,1.90128e-05
63,78913.3,0.20771,0.60246,0.79996,0.99797,0.99962,0.995,0.99387,0.14145,0.39248,0.77259,1.85376e-05,1.85376e-05,1.85376e-05
64,80832.4,0.20676,0.59363,0.79898,0.99791,0.99977,0.995,0.99384,0.14496,0.39187,0.77269,1.80624e-05,1.80624e-05,1.80624e-05
65,82600.1,0.20624,0.58523,0.7998,0.99759,0.99954,0.995,0.99339,0.14061,0.38627,0.77222,1.75872e-05,1.75872e-05,1.75872e-05
