epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,45396.5,0.26768,0.85589,0.81036,0.99744,0.99946,0.995,0.99382,0.15405,0.50461,0.77828,2.86948e-05,2.86948e-05,2.86948e-05
40,46480,0.26503,0.83737,0.81167,0.99752,0.99968,0.995,0.99444,0.14777,0.49778,0.77649,2.82394e-05,2.82394e-05,2.82394e-05
41,47560.7,0.26394,0.83644,0.80929,0.99786,0.99933,0.995,0.99433,0.15101,0.49373,0.77677,2.7784e-05,2.7784e-05,2.7784e-05
42,48638.9,0.26321,0.81635,0.80845,0.99723,0.99925,0.995,0.99356,0.16106,0.49375,0.77896,2.73286e-05,2.73286e-05,2.73286e-05
43,49725.5,0.25826,0.81135,0.81006,0.99774,0.99959,0.995,0.99453,0.14325,0.48693,0.77677,2.68732e-05,2.68732e-05,2.68732e-05
44,50803.7,0.25458,0.78761,0.809,0.99791,0.99982,0.995,0.99393,0.14874,0.47935,0.77748,2.64178e-05,2.64178e-05,2.64178e-05
45,51907.4,0.2546,0.78853,0.80945,0.99732,0.99929,0.995,0.99415,0.15073,0.47385,0.77795,2.59624e-05,2.59624e-05,2.59624e-05
46,55628.5,0.25493,0.77657,0.80567,0.99779,0.99965,0.995,0.99424,0.14953,0.46941,0.77628,2.5507e-05,2.5507e-05,2.5507e-05
47,60555.8,0.25182,0.76724,0.80843,0.99773,0.99971,0.995,0.99429,0.14266,0.46199,0.7758,2.50516e-05,2.50516e-05,2.50516e-05
48,62465.6,0.25021,0.76397,0.80826,0.99779,0.99985,0.995,0.99449,0.14017,0.45961,0.77602,2.45962e-05,2.45962e-05,2.45962e-05
49,64315.9,0.24584,0.74831,0.80547,0.99775,0.99983,0.995,0.99449,0.13643,0.45715,0.77505,2.41408e-05,2.41408e-05,2.41408e-05
50,66164.1,0.24755,0.74882,0.80802,0.99786,0.99985,0.995,0.99397,0.14998,0.45483,0.77656,2.36854e-05,2.36854e-05,2.36854e-05
